Datetime,goat_id,O_30m,D_15-30m,MAD_15m,Act15m,Temp_60m,y_H2
2025-04-19T00:51:00.000000+0000,25,53.09157536341542,31.878575784486138,34.364199062531476,0.17222222222222222,21.95413412792164,0
2025-04-19T00:52:00.000000+0000,25,53.495320129921055,32.263894713671206,34.330865729198145,0.17222222222222222,21.942467461254974,0
2025-04-19T00:53:00.000000+0000,25,53.95537995365316,21.338425417802277,24.97990024098265,0.1388888888888889,21.930471808176772,0
2025-04-19T00:54:00.000000+0000,25,54.50296774426791,17.812589089175837,24.53190024098266,0.13055555555555556,21.916624469241196,0
2025-04-19T00:55:00.000000+0000,25,55.06000907218119,10.020070845417507,17.339921746359003,0.1,21.901251447355673,0
2025-04-19T00:56:00.000000+0000,25,55.41563742865874,7.784360818056676,16.775329153766407,0.09444444444444443,21.884933883531783,0
2025-04-19T00:57:00.000000+0000,25,55.72616520643651,-2.9561573611172633,12.20821920612243,0.05277777777777778,21.86813805019845,0
2025-04-19T00:58:00.000000+0000,25,54.9666385275675,-8.348431603339108,10.037552539455765,0.04444444444444444,21.85116534548381,0
2025-04-19T00:59:00.000000+0000,25,55.275720586452216,-12.72887336464553,8.203538202538203,0.03333333333333333,21.83416872957856,0
2025-04-19T01:00:00.000000+0000,25,55.38299005852943,-16.818474705024265,6.443781930136764,0.030555555555555555,21.81716346642067,0
2025-04-19T01:01:00.000000+0000,25,55.788055189831915,-25.72840634327659,1.6083716737265072,0.0,21.8006013211786,0
2025-04-19T01:02:00.000000+0000,25,56.14900766481876,-25.6637819193306,1.6177050070598455,0.0,21.78355202960515,0
2025-04-19T01:03:00.000000+0000,25,56.61254937996431,-25.768788314150672,1.4523716737265109,0.0,21.766775100003787,0
2025-04-19T01:04:00.000000+0000,25,57.044743824408755,-26.697453316554704,1.485651135005973,0.0,21.749318155559344,0
2025-04-19T01:05:00.000000+0000,25,57.61165271655496,-26.897296752155253,1.494317801672641,0.0,21.73087612053517,0
2025-04-19T01:06:00.000000+0000,25,57.9970060381305,-26.973145109771078,1.537651135005975,0.0,21.711399116049613,0
2025-04-19T01:07:00.000000+0000,25,58.3457888572715,-27.41342598632076,1.5876511350059805,0.0,21.69150914201882,0
2025-04-19T01:08:00.000000+0000,25,53.02082785654789,-22.27297751490754,1.6469844683393167,0.0,21.67146047987614,0
2025-04-19T01:09:00.000000+0000,25,51.30905007877011,-21.00650675467363,1.669651135005978,0.0,21.649898442839103,0
2025-04-19T01:10:00.000000+0000,25,47.50486118511775,-17.575218732480955,1.7049844683393076,0.0,21.62804223381618,0
